Material,Steel
Geometry,Rectangular
Width,"0.12400",in
Thickness,"0.12400",in
Length,"2.00000",in

Time,Extension,Load
(s),(in),(lbf)
"28.09100","0.01873","201.71530"
"28.19100","0.01879","201.81748"
"28.29100","0.01886","202.80613"
"28.39100","0.01893","203.62645"
"28.49100","0.01900","204.32829"
"28.59100","0.01906","204.58057"
"28.69100","0.01913","205.21157"
"28.79100","0.01919","205.77725"
"28.89100","0.01927","206.79644"
"28.99100","0.01933","207.20592"
"29.09100","0.01939","207.56506"
"29.19100","0.01945","207.98537"
"29.29100","0.01952","208.92943"
"29.39100","0.01960","209.86989"
"29.49100","0.01967","210.48076"
"29.59100","0.01973","210.71907"
"29.69100","0.01979","211.29760"
"29.79100","0.01986","211.99405"
"29.89100","0.01993","212.74331"
"29.99100","0.02000","213.41107"
"30.09100","0.02006","213.77851"
"30.19100","0.02012","214.46150"
"30.29100","0.02020","215.42838"
"30.39100","0.02027","216.20639"
"30.49100","0.02033","216.34430"
"30.59100","0.02039","217.01678"
"30.69100","0.02046","217.70534"
"30.79100","0.02053","218.45730"
"30.89100","0.02060","219.25447"
"30.99100","0.02066","219.50378"
"31.09100","0.02072","219.89430"
"31.19100","0.02079","220.82253"
"31.29100","0.02086","221.89641"
"31.39100","0.02094","222.61805"
"31.49100","0.02100","222.88214"
"31.59100","0.02106","223.45342"
"31.69100","0.02112","223.98133"
"31.79100","0.02119","224.91872"
"31.89100","0.02126","225.58435"
"31.99100","0.02132","226.06954"
"32.09100","0.02139","226.55361"
"32.19100","0.02146","227.70132"
"32.29100","0.02154","228.44154"
"32.39100","0.02160","228.88929"
"32.49100","0.02166","229.34736"
"32.59100","0.02172","229.96369"
"32.69100","0.02180","230.91024"
"32.79100","0.02187","231.73354"
"32.89100","0.02193","232.04093"
"32.99100","0.02199","232.49499"
"33.09100","0.02205","233.22908"
"33.19100","0.02213","234.35803"
"33.29100","0.02221","235.26907"
"33.39100","0.02227","235.60403"
"33.49100","0.02233","236.05162"
"33.59100","0.02239","236.62967"
"33.69100","0.02246","237.66900"
"33.79100","0.02253","238.44609"
"33.89100","0.02259","238.90989"
"33.99100","0.02266","239.34757"
"34.09100","0.02273","240.42071"
"34.19100","0.02280","241.42055"
"34.29100","0.02287","241.84690"
"34.39100","0.02293","242.29857"
"34.49100","0.02299","243.01916"
"34.59100","0.02306","243.90522"
"34.69100","0.02314","245.06906"
"34.79100","0.02320","245.27384"
"34.89100","0.02326","245.84168"
"34.99100","0.02332","246.42302"
"35.09100","0.02339","247.59827"
"35.19100","0.02347","248.70319"
"35.29100","0.02354","249.21529"
